ID_SETA	Mes_1	SETA_dist	ID_Alimentador	FC	Valor_Inst	Pmax	D_Instantanea	D.Int_PU	D.Int_Ajustada_1	FP
2943	71442.0	URBANO	334	0.7253248844625255	0.5336949514260944	136.8007662849275	73.00987831748687	0	73.00987831748687	0.871
3012	34069.0	CAUCETE CENTRO	335	0.7767774573976227	0.6170973403218086	60.91584546503393	37.59100621992675	0.018994323998230887	39.672304875664956	0.889
2982	4363.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	8.33161519219699	4.848929296401595	0.002794971672356727	5.699170837669155	0.930
2986	23649.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	45.16029513643516	26.28290830405714	0.015149733000129322	30.891517565903698	0.930
205	1451.0	DE LOS RIOS	332	0.8649202547441315	0.7223941001888659	2.330015705753076	1.6831895991834185	0.0012893340176607666	2.071263526011315	0.877
1354	2497.0	DE LOS RIOS	332	0.8649202547441315	0.7223941001888659	4.009682437812151	2.8965709367064068	0.002218791896691202	3.564400430358549	0.877
2073	2220.29	DE LOS RIOS	332	0.8649202547441315	0.7223941001888659	3.565341537785318	2.575581692054412	0.001972912078616143	3.169404337813689	0.877
828	4910.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	9.376170202541191	5.456851442890632	0.003145384119017082	6.413689849405351	0.930
115	9495.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	18.131718141166722	10.552505998013553	0.0060825707148813015	12.402848293300163	0.930
1245	8929.0	DE LOS RIOS	332	0.8649202547441315	0.7223941001888659	14.338187620033919	10.35782214411354	0.00793415812797587	12.745907666268115	0.877
848	6492.3	DE LOS RIOS	332	0.8649202547441315	0.7223941001888659	10.425334918305097	7.531200437476574	0.00576894778970296	9.267583866246218	0.877
1945	31876.5	DE LOS RIOS	332	0.8649202547441315	0.7223941001888659	51.187281629523035	36.97739025387335	0.028324917859382095	45.50284754438296	0.877
2970	2638.1	DE LOS RIOS	332	0.8649202547441315	0.7223941001888659	4.236260808647271	3.060249815028102	0.0023441709662238926	3.7658168904000346	0.877
2971	23042.09	DE LOS RIOS	332	0.8649202547441315	0.7223941001888659	37.000986625345206	26.72929443931651	0.020474810802895226	32.89196456241906	0.877
3002	12858.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	24.553726367469377	14.290060255129887	0.008236934623690762	16.795768652475356	0.930
1067	1217.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	2.3239916774934075	1.352543422810163	0.0007796196482370242	1.5897068323271513	0.930
821	16593.7	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	31.68744510996085	18.44182398938784	0.010630053045974289	21.675528564985253	0.930
210	372.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	0.7103737913126931	0.4134315146141171	0.0002383060880395834	0.48592517799975365	0.930
784	38534.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	73.58479482377236	42.82572576381825	0.02468517956053039	50.33505593828631	0.930
2960	519.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	0.9910860152991605	0.5768036453890505	0.00033247542928103167	0.677943998338366	0.930
646	270.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	0.5155938807914708	0.3000712606070205	0.00017296409615776215	0.35268762919336966	0.930
2952	0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	0.0	0.0	0.0	0.0	0.930
2959	7810.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	14.914030403634767	8.679839056817888	0.0050031466333041565	10.20181623703784	0.930
2956	864.0	SANTA ROSA	333	0.7273166225796748	0.5819915087944628	1.6499004185327066	0.9602280339424656	0.0005534851077048389	1.1286004134187828	0.930
2088	5958.0	DE LOS RIOS	332	0.8649202547441315	0.7223941001888659	9.56735601300953	6.911401538204554	0.005294177861628427	8.504884967591604	0.877
560	19772.670000000002	DE LOS RIOS	332	0.8649202547441315	0.7223941001888659	31.75095220170412	22.936700545889735	0.017569659580276023	28.22495532933022	0.877
