ID_terminal	ID_Variable	Dia	Mes	Año	Hora	Valor_Muestra	Dia_Semana	Valor_Real
334	1	02	01	2022	02	0.23089	6	2308.9
332	1	02	01	2022	02	0.15982	6	1598.1999999999998
335	1	02	01	2022	02	0.19660	6	1966.0
335	1	02	01	2022	03	0.18799	6	1879.8999999999999
333	1	02	01	2022	03	0.20061	6	2006.1000000000001
334	1	02	01	2022	03	0.22095	6	2209.5
332	1	02	01	2022	03	0.15610	6	1561.0
332	1	02	01	2022	04	0.15218	6	1521.8000000000002
335	1	02	01	2022	04	0.17870	6	1787.0
333	1	02	01	2022	04	0.19665	6	1966.5
334	1	02	01	2022	04	0.21213	6	2121.3
335	1	02	01	2022	05	0.17458	6	1745.8000000000002
334	1	02	01	2022	05	0.20376	6	2037.6
332	1	02	01	2022	05	0.14340	6	1434.0
333	1	02	01	2022	05	0.19294	6	1929.4
334	1	02	01	2022	06	0.19354	6	1935.3999999999999
335	1	02	01	2022	06	0.16490	6	1649.0
333	1	02	01	2022	06	0.18286	6	1828.6
332	1	02	01	2022	06	0.13913	6	1391.3
332	1	02	01	2022	07	0.14568	6	1456.8
335	1	02	01	2022	07	0.15233	6	1523.3
334	1	02	01	2022	07	0.17667	6	1766.7
333	1	02	01	2022	07	0.17534	6	1753.3999999999999
333	1	02	01	2022	08	0.17743	6	1774.3
334	1	02	01	2022	08	0.18439	6	1843.9
335	1	02	01	2022	08	0.15385	6	1538.4999999999998
332	1	02	01	2022	08	0.16274	6	1627.3999999999999
332	1	02	01	2022	09	0.16272	6	1627.2
334	1	02	01	2022	09	0.19269	6	1926.9
335	1	02	01	2022	09	0.15903	6	1590.3
333	1	02	01	2022	09	0.18302	6	1830.1999999999998
335	1	02	01	2022	10	0.16668	6	1666.8
334	1	02	01	2022	10	0.20777	6	2077.7000000000003
332	1	02	01	2022	10	0.16169	6	1616.9
333	1	02	01	2022	10	0.19093	6	1909.3
334	1	02	01	2022	11	0.22297	6	2229.7
333	1	02	01	2022	11	0.20113	6	2011.3
332	1	02	01	2022	11	0.16709	6	1670.8999999999999
335	1	02	01	2022	11	0.17800	6	1780.0
332	1	02	01	2022	12	0.17290	6	1729.0
333	1	02	01	2022	12	0.21929	6	2192.9
335	1	02	01	2022	12	0.19890	6	1989.0
334	1	02	01	2022	12	0.25189	6	2518.9
335	1	02	01	2022	13	0.23357	6	2335.7
334	1	02	01	2022	13	0.29203	6	2920.3
333	1	02	01	2022	13	0.25742	6	2574.2
332	1	02	01	2022	13	0.18876	6	1887.6000000000001
334	1	02	01	2022	14	0.32425	6	3242.5
332	1	02	01	2022	14	0.19298	6	1929.8000000000002
333	1	02	01	2022	14	0.27949	6	2794.9
335	1	02	01	2022	14	0.26127	6	2612.7
335	1	02	01	2022	15	0.27736	6	2773.6
333	1	02	01	2022	15	0.28753	6	2875.3
334	1	02	01	2022	15	0.34101	6	3410.1
332	1	02	01	2022	15	0.19762	6	1976.1999999999998
332	1	02	01	2022	16	0.19855	6	1985.5
334	1	02	01	2022	16	0.34659	6	3465.9
335	1	02	01	2022	16	0.28381	6	2838.1
333	1	02	01	2022	16	0.29626	6	2962.6000000000004
332	1	02	01	2022	17	0.18895	6	1889.5
335	1	02	01	2022	17	0.28184	6	2818.3999999999996
334	1	02	01	2022	17	0.34643	6	3464.3
333	1	02	01	2022	17	0.29061	6	2906.1
333	1	02	01	2022	18	0.28530	6	2853.0
334	1	02	01	2022	18	0.33980	6	3398.0
335	1	02	01	2022	18	0.27396	6	2739.6
332	1	02	01	2022	18	0.17810	6	1781.0
333	1	02	01	2022	19	0.26161	6	2616.1
335	1	02	01	2022	19	0.25303	6	2530.2999999999997
334	1	02	01	2022	19	0.32035	6	3203.5000000000005
332	1	02	01	2022	19	0.16913	6	1691.3
334	1	02	01	2022	20	0.28933	6	2893.2999999999997
335	1	02	01	2022	20	0.22351	6	2235.1
333	1	02	01	2022	20	0.22115	6	2211.5
332	1	02	01	2022	20	0.16020	6	1602.0
335	1	02	01	2022	21	0.21307	6	2130.7000000000003
334	1	02	01	2022	21	0.27513	6	2751.2999999999997
333	1	02	01	2022	21	0.21332	6	2133.2000000000003
332	1	02	01	2022	21	0.16661	6	1666.1000000000001
332	1	02	01	2022	22	0.17047	6	1704.7
334	1	02	01	2022	22	0.26791	6	2679.1
335	1	02	01	2022	22	0.21616	6	2161.6
333	1	02	01	2022	22	0.22333	6	2233.3
334	1	02	01	2022	23	0.27200	6	2720.0
335	1	02	01	2022	23	0.22358	6	2235.8
333	1	02	01	2022	23	0.22752	6	2275.2
332	1	02	01	2022	23	0.17400	6	1739.9999999999998
334	1	03	01	2022	00	0.27994	0	2799.4
333	1	03	01	2022	00	0.23715	0	2371.5
335	1	03	01	2022	00	0.23530	0	2353.0
332	1	03	01	2022	00	0.18456	0	1845.6
333	1	03	01	2022	01	0.23377	0	2337.7000000000003
335	1	03	01	2022	01	0.23378	0	2337.7999999999997
332	1	03	01	2022	01	0.17897	0	1789.6999999999998
334	1	03	01	2022	01	0.27745	0	2774.4999999999995
332	1	03	01	2022	02	0.17599	0	1759.9
334	1	03	01	2022	02	0.26791	0	2679.1
335	1	03	01	2022	02	0.21928	0	2192.8
333	1	03	01	2022	02	0.22802	0	2280.2
332	1	03	01	2022	03	0.17210	0	1721.0
334	1	03	01	2022	03	0.25785	0	2578.5000000000005
333	1	03	01	2022	03	0.22075	0	2207.5
335	1	03	01	2022	03	0.21278	0	2127.8
333	1	03	01	2022	04	0.21751	0	2175.1
335	1	03	01	2022	04	0.20932	0	2093.2000000000003
334	1	03	01	2022	04	0.25256	0	2525.6
332	1	03	01	2022	04	0.17146	0	1714.6
335	1	03	01	2022	05	0.20417	0	2041.6999999999998
333	1	03	01	2022	05	0.21719	0	2171.9
332	1	03	01	2022	05	0.16171	0	1617.1
334	1	03	01	2022	05	0.24565	0	2456.5
332	1	03	01	2022	06	0.15948	0	1594.8000000000002
334	1	03	01	2022	06	0.23535	0	2353.5
333	1	03	01	2022	06	0.21343	0	2134.3
335	1	03	01	2022	06	0.19134	0	1913.4
334	1	03	01	2022	07	0.21640	0	2164.0
332	1	03	01	2022	07	0.16982	0	1698.2
335	1	03	01	2022	07	0.17741	0	1774.1000000000001
333	1	03	01	2022	07	0.21035	0	2103.5
335	1	03	01	2022	08	0.18796	0	1879.6
332	1	03	01	2022	08	0.17842	0	1784.2
334	1	03	01	2022	08	0.24397	0	2439.7
333	1	03	01	2022	08	0.23393	0	2339.3
333	1	03	01	2022	09	0.23747	0	2374.7
332	1	03	01	2022	09	0.18262	0	1826.2
334	1	03	01	2022	09	0.26717	0	2671.7000000000003
335	1	03	01	2022	09	0.18617	0	1861.7
333	1	03	01	2022	10	0.24604	0	2460.4
335	1	03	01	2022	10	0.18637	0	1863.7
332	1	03	01	2022	10	0.18264	0	1826.3999999999999
334	1	03	01	2022	10	0.28346	0	2834.6
335	1	03	01	2022	11	0.14578	0	1457.8
333	1	03	01	2022	11	0.24466	0	2446.6
334	1	03	01	2022	11	0.29398	0	2939.8
332	1	03	01	2022	11	0.19188	0	1918.8
332	1	03	01	2022	12	0.19692	0	1969.2
333	1	03	01	2022	12	0.23805	0	2380.5
335	1	03	01	2022	12	0.20786	0	2078.6
334	1	03	01	2022	12	0.32701	0	3270.1000000000004
335	1	03	01	2022	13	0.25299	0	2529.9
333	1	03	01	2022	13	0.27731	0	2773.1
334	1	03	01	2022	13	0.34978	0	3497.7999999999997
332	1	03	01	2022	13	0.20630	0	2063.0
335	1	03	01	2022	14	0.29531	0	2953.1000000000004
334	1	03	01	2022	14	0.37015	0	3701.5
332	1	03	01	2022	14	0.21190	0	2119.0
333	1	03	01	2022	14	0.30064	0	3006.4
334	1	03	01	2022	15	0.38495	0	3849.5
332	1	03	01	2022	15	0.21600	0	2160.0
335	1	03	01	2022	15	0.29821	0	2982.1
333	1	03	01	2022	15	0.32474	0	3247.3999999999996
333	1	03	01	2022	16	0.33836	0	3383.6
335	1	03	01	2022	16	0.30591	0	3059.1000000000004
332	1	03	01	2022	16	0.21864	0	2186.4
334	1	03	01	2022	16	0.38378	0	3837.8
334	1	03	01	2022	17	0.39208	0	3920.7999999999997
333	1	03	01	2022	17	0.33449	0	3344.9
335	1	03	01	2022	17	0.29749	0	2974.8999999999996
332	1	03	01	2022	17	0.21338	0	2133.7999999999997
335	1	03	01	2022	18	0.28235	0	2823.5
332	1	03	01	2022	18	0.19426	0	1942.6
333	1	03	01	2022	18	0.31302	0	3130.2000000000003
334	1	03	01	2022	18	0.40599	0	4059.9
334	1	03	01	2022	19	0.38646	0	3864.6000000000004
335	1	03	01	2022	19	0.26231	0	2623.1
332	1	03	01	2022	19	0.18355	0	1835.5
333	1	03	01	2022	19	0.28093	0	2809.3
334	1	03	01	2022	20	0.33782	0	3378.2000000000003
335	1	03	01	2022	20	0.22403	0	2240.3
332	1	03	01	2022	20	0.17299	0	1729.9
333	1	03	01	2022	20	0.24939	0	2493.9
335	1	03	01	2022	21	0.22471	0	2247.1
332	1	03	01	2022	21	0.18674	0	1867.3999999999999
334	1	03	01	2022	21	0.32202	0	3220.2
333	1	03	01	2022	21	0.24788	0	2478.7999999999997
333	1	03	01	2022	22	0.26793	0	2679.3
334	1	03	01	2022	22	0.30006	0	3000.6
332	1	03	01	2022	22	0.19550	0	1955.0
335	1	03	01	2022	22	0.24235	0	2423.5
332	1	03	01	2022	23	0.20352	0	2035.2
335	1	03	01	2022	23	0.25312	0	2531.2000000000003
334	1	03	01	2022	23	0.29801	0	2980.1
333	1	03	01	2022	23	0.27157	0	2715.7
334	1	04	01	2022	00	0.30299	1	3029.8999999999996
335	1	04	01	2022	00	0.25758	1	2575.7999999999997
333	1	04	01	2022	00	0.27796	1	2779.6
332	1	04	01	2022	00	0.21389	1	2138.9
332	1	04	01	2022	01	0.20858	1	2085.7999999999997
335	1	04	01	2022	01	0.26759	1	2675.9
334	1	04	01	2022	01	0.30029	1	3002.9
333	1	04	01	2022	01	0.27119	1	2711.9
333	1	04	01	2022	02	0.25927	1	2592.7
335	1	04	01	2022	02	0.25423	1	2542.3
332	1	04	01	2022	02	0.20208	1	2020.8000000000002
334	1	04	01	2022	02	0.28994	1	2899.3999999999996
333	1	04	01	2022	03	0.25484	1	2548.4
335	1	04	01	2022	03	0.24156	1	2415.6
332	1	04	01	2022	03	0.19793	1	1979.3
334	1	04	01	2022	03	0.27601	1	2760.1
335	1	04	01	2022	04	0.23481	1	2348.1
332	1	04	01	2022	04	0.19548	1	1954.8
333	1	04	01	2022	04	0.24865	1	2486.5
334	1	04	01	2022	04	0.26608	1	2660.7999999999997
335	1	04	01	2022	05	0.22741	1	2274.1
332	1	04	01	2022	05	0.18427	1	1842.6999999999998
333	1	04	01	2022	05	0.23963	1	2396.3
334	1	04	01	2022	05	0.25495	1	2549.5
334	1	04	01	2022	06	0.24122	1	2412.2
332	1	04	01	2022	06	0.19214	1	1921.4
335	1	04	01	2022	06	0.21454	1	2145.4
333	1	04	01	2022	06	0.23152	1	2315.2
332	1	04	01	2022	07	0.20410	1	2041.0
334	1	04	01	2022	07	0.22217	1	2221.7000000000003
335	1	04	01	2022	07	0.19931	1	1993.1
333	1	04	01	2022	07	0.22718	1	2271.7999999999997
334	1	04	01	2022	08	0.22799	1	2279.9
332	1	04	01	2022	08	0.21062	1	2106.2
333	1	04	01	2022	08	0.24116	1	2411.6
335	1	04	01	2022	08	0.19377	1	1937.7
335	1	04	01	2022	09	0.18689	1	1868.9
332	1	04	01	2022	09	0.21310	1	2131.0
333	1	04	01	2022	09	0.24158	1	2415.7999999999997
334	1	04	01	2022	09	0.25135	1	2513.5
335	1	04	01	2022	10	0.18365	1	1836.5
334	1	04	01	2022	10	0.26334	1	2633.4
332	1	04	01	2022	10	0.20858	1	2085.7999999999997
333	1	04	01	2022	10	0.24489	1	2448.9
333	1	04	01	2022	11	0.24926	1	2492.6
335	1	04	01	2022	11	0.18769	1	1876.8999999999999
334	1	04	01	2022	11	0.27079	1	2707.8999999999996
332	1	04	01	2022	11	0.20738	1	2073.8
332	1	04	01	2022	12	0.16538	1	1653.8
335	1	04	01	2022	12	0.20102	1	2010.2
333	1	04	01	2022	12	0.25819	1	2581.8999999999996
334	1	04	01	2022	12	0.29459	1	2945.9
334	1	04	01	2022	13	0.30737	1	3073.7
335	1	04	01	2022	13	0.23693	1	2369.3
333	1	04	01	2022	13	0.27952	1	2795.2
332	1	04	01	2022	13	0.18852	1	1885.1999999999998
332	1	04	01	2022	14	0.21062	1	2106.2
333	1	04	01	2022	14	0.30377	1	3037.7
334	1	04	01	2022	14	0.33898	1	3389.8
335	1	04	01	2022	14	0.27632	1	2763.2000000000003
335	1	04	01	2022	15	0.29056	1	2905.6
334	1	04	01	2022	15	0.35491	1	3549.1
332	1	04	01	2022	15	0.22010	1	2201.0
333	1	04	01	2022	15	0.32605	1	3260.5
334	1	04	01	2022	16	0.36135	1	3613.5
332	1	04	01	2022	16	0.22236	1	2223.6
333	1	04	01	2022	16	0.32830	1	3283.0
335	1	04	01	2022	16	0.28931	1	2893.1
333	1	04	01	2022	17	0.32501	1	3250.1000000000004
334	1	04	01	2022	17	0.37841	1	3784.1000000000004
332	1	04	01	2022	17	0.21408	1	2140.7999999999997
335	1	04	01	2022	17	0.28543	1	2854.3
333	1	04	01	2022	18	0.30078	1	3007.7999999999997
332	1	04	01	2022	18	0.19783	1	1978.3
334	1	04	01	2022	18	0.39128	1	3912.8
335	1	04	01	2022	18	0.27639	1	2763.9
332	1	04	01	2022	19	0.18871	1	1887.1
335	1	04	01	2022	19	0.24970	1	2497.0
334	1	04	01	2022	19	0.37316	1	3731.6
333	1	04	01	2022	19	0.26019	1	2601.8999999999996
333	1	04	01	2022	20	0.22453	1	2245.3
334	1	04	01	2022	20	0.33251	1	3325.1
332	1	04	01	2022	20	0.16649	1	1664.9
335	1	04	01	2022	20	0.21303	1	2130.3
335	1	04	01	2022	21	0.20644	1	2064.4
332	1	04	01	2022	21	0.16692	1	1669.2
333	1	04	01	2022	21	0.22568	1	2256.7999999999997
334	1	04	01	2022	21	0.30755	1	3075.5
334	1	04	01	2022	22	0.26678	1	2667.8
332	1	04	01	2022	22	0.17918	1	1791.8
335	1	04	01	2022	22	0.22059	1	2205.9
333	1	04	01	2022	22	0.23011	1	2301.1
332	1	04	01	2022	23	0.18838	1	1883.8
335	1	04	01	2022	23	0.23420	1	2342.0
334	1	04	01	2022	23	0.26116	1	2611.6
333	1	04	01	2022	23	0.24080	1	2408.0
332	1	05	01	2022	00	0.20546	2	2054.6
333	1	05	01	2022	00	0.24541	2	2454.1
335	1	05	01	2022	00	0.24223	2	2422.3
334	1	05	01	2022	00	0.26690	2	2669.0000000000005
332	1	05	01	2022	01	0.20215	2	2021.5
334	1	05	01	2022	01	0.27090	2	2708.9999999999995
335	1	05	01	2022	01	0.23809	2	2380.9
333	1	05	01	2022	01	0.23845	2	2384.5
332	1	05	01	2022	02	0.19937	2	1993.6999999999998
333	1	05	01	2022	02	0.22819	2	2281.9
335	1	05	01	2022	02	0.23119	2	2311.9
334	1	05	01	2022	02	0.26221	2	2622.1
332	1	05	01	2022	03	0.19627	2	1962.7
335	1	05	01	2022	03	0.22864	2	2286.4
333	1	05	01	2022	03	0.22394	2	2239.4
334	1	05	01	2022	03	0.25218	2	2521.8
334	1	05	01	2022	04	0.23823	2	2382.3
335	1	05	01	2022	04	0.21938	2	2193.7999999999997
333	1	05	01	2022	04	0.21528	2	2152.8
332	1	05	01	2022	04	0.19320	2	1932.0
334	1	05	01	2022	05	0.22775	2	2277.5
333	1	05	01	2022	05	0.21105	2	2110.5
335	1	05	01	2022	05	0.19913	2	1991.3
332	1	05	01	2022	05	0.18266	2	1826.6
333	1	05	01	2022	06	0.19699	2	1969.9
335	1	05	01	2022	06	0.18189	2	1818.8999999999999
334	1	05	01	2022	06	0.21758	2	2175.8
332	1	05	01	2022	06	0.19001	2	1900.1000000000001
332	1	05	01	2022	07	0.13651	2	1365.1
334	1	05	01	2022	07	0.19409	2	1940.9
333	1	05	01	2022	07	0.15075	2	1507.5
335	1	05	01	2022	07	0.15930	2	1593.0
335	1	05	01	2022	08	0.17208	2	1720.8000000000002
334	1	05	01	2022	08	0.21262	2	2126.2
332	1	05	01	2022	08	0.19397	2	1939.7
333	1	05	01	2022	08	0.18945	2	1894.5
333	1	05	01	2022	09	0.19750	2	1975.0
332	1	05	01	2022	09	0.20858	2	2085.7999999999997
334	1	05	01	2022	09	0.22919	2	2291.9
335	1	05	01	2022	09	0.16724	2	1672.4
333	1	05	01	2022	10	0.19982	2	1998.2
335	1	05	01	2022	10	0.15844	2	1584.3999999999999
332	1	05	01	2022	10	0.20683	2	2068.3
334	1	05	01	2022	10	0.23632	2	2363.2
332	1	05	01	2022	11	0.20114	2	2011.4
333	1	05	01	2022	11	0.20365	2	2036.5
335	1	05	01	2022	11	0.16259	2	1625.9
334	1	05	01	2022	11	0.24541	2	2454.1
334	1	05	01	2022	12	0.24923	2	2492.3
335	1	05	01	2022	12	0.16168	2	1616.8
332	1	05	01	2022	12	0.19598	2	1959.8
333	1	05	01	2022	12	0.20941	2	2094.1
333	1	05	01	2022	13	0.21445	2	2144.5
335	1	05	01	2022	13	0.17312	2	1731.2
334	1	05	01	2022	13	0.24269	2	2426.9
332	1	05	01	2022	13	0.19193	2	1919.3
335	1	05	01	2022	14	0.19942	2	1994.1999999999998
333	1	05	01	2022	14	0.22615	2	2261.5
334	1	05	01	2022	14	0.24635	2	2463.5
332	1	05	01	2022	14	0.20249	2	2024.9
334	1	05	01	2022	15	0.27032	2	2703.2000000000003
335	1	05	01	2022	15	0.23636	2	2363.6
333	1	05	01	2022	15	0.24919	2	2491.9
332	1	05	01	2022	15	0.20990	2	2099.0
335	1	05	01	2022	16	0.24512	2	2451.2
334	1	05	01	2022	16	0.28593	2	2859.3
332	1	05	01	2022	16	0.21343	2	2134.3
333	1	05	01	2022	16	0.25344	2	2534.4
335	1	05	01	2022	17	0.25034	2	2503.4
334	1	05	01	2022	17	0.30650	2	3065.0
332	1	05	01	2022	17	0.20743	2	2074.3
333	1	05	01	2022	17	0.25762	2	2576.2000000000003
333	1	05	01	2022	18	0.24527	2	2452.7
335	1	05	01	2022	18	0.24367	2	2436.7
334	1	05	01	2022	18	0.32936	2	3293.6
332	1	05	01	2022	18	0.19289	2	1928.9
335	1	05	01	2022	19	0.22831	2	2283.1
332	1	05	01	2022	19	0.18636	2	1863.6
333	1	05	01	2022	19	0.25267	2	2526.7000000000003
334	1	05	01	2022	19	0.31822	2	3182.2
334	1	05	01	2022	20	0.29173	2	2917.2999999999997
335	1	05	01	2022	20	0.20903	2	2090.2999999999997
332	1	05	01	2022	20	0.18101	2	1810.1000000000001
333	1	05	01	2022	20	0.23312	2	2331.2
332	1	05	01	2022	21	0.18886	2	1888.6
334	1	05	01	2022	21	0.28226	2	2822.6
333	1	05	01	2022	21	0.23625	2	2362.5
335	1	05	01	2022	21	0.20405	2	2040.5
335	1	05	01	2022	22	0.21024	2	2102.4
334	1	05	01	2022	22	0.25736	2	2573.6
332	1	05	01	2022	22	0.19495	2	1949.5000000000002
333	1	05	01	2022	22	0.24275	2	2427.5
335	1	05	01	2022	23	0.21663	2	2166.2999999999997
334	1	05	01	2022	23	0.24619	2	2461.9
