ID_SETA	Mes_1	SETA_dist	ID_Alimentador	FC	Valor_Inst	Pmax	D_Instantanea	D.Int_PU	D.Int_Ajustada_1	FP
2943	71442.0	URBANO	334	0.7253248844625255	0.9087581234392252	136.8007662849275	124.31880765413875	0	124.31880765413875	0.919
3012	34069.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	60.91584546503393	59.76272392732964	0.018994323998230884	63.071602552325565	0.920
2982	4363.0	SANTA ROSA	333	0.7273166225796748	1.0	8.33161519219699	8.33161519219699	0.0027949716723567257	9.792532625560833	0.942
2986	23649.0	SANTA ROSA	333	0.7273166225796748	1.0	45.16029513643516	45.16029513643516	0.015149733000129314	53.078983282578065	0.942
205	1451.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	2.330015705753076	2.210465929682194	0.0012893340176607661	2.7201079770589183	0.905
1354	2497.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	4.009682437812151	3.803951362106436	0.0022187918966912012	4.6809852644494265	0.905
2073	2220.29	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	3.565341537785318	3.38240895865891	0.001972912078616142	4.1622526122564745	0.905
828	4910.0	SANTA ROSA	333	0.7273166225796748	1.0	9.376170202541191	9.376170202541191	0.0031453841190170802	11.020246433991218	0.942
115	9495.0	SANTA ROSA	333	0.7273166225796748	1.0	18.131718141166722	18.131718141166722	0.006082570714881299	21.31104682092599	0.942
1245	8929.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	14.338187620033919	13.60251570374384	0.007934158127975866	16.738693402590684	0.905
848	6492.3	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	10.425334918305097	9.890425882340255	0.005768947789702958	12.170749151936331	0.905
1945	31876.5	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	51.187281629523035	48.56093536010645	0.028324917859382088	59.75707920793838	0.905
2970	2638.1	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	4.236260808647271	4.018904320533836	0.0023441709662238917	4.945497487442544	0.905
2971	23042.09	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	37.000986625345206	35.10251887916664	0.020474810802895222	43.195708350868045	0.905
3002	12858.0	SANTA ROSA	333	0.7273166225796748	1.0	24.553726367469377	24.553726367469377	0.008236934623690758	28.859130070928533	0.942
1067	1217.0	SANTA ROSA	333	0.7273166225796748	1.0	2.3239916774934075	2.3239916774934075	0.0007796196482370239	2.7314948900544427	0.942
821	16593.7	SANTA ROSA	333	0.7273166225796748	1.0	31.68744510996085	31.68744510996085	0.010630053045974284	37.24371960320165	0.942
210	372.0	SANTA ROSA	333	0.7273166225796748	1.0	0.7103737913126931	0.7103737913126931	0.00023830608803958325	0.8349351677076848	0.942
784	38534.0	SANTA ROSA	333	0.7273166225796748	1.0	73.58479482377236	73.58479482377236	0.02468517956053038	86.48761223776326	0.942
2960	519.0	SANTA ROSA	333	0.7273166225796748	1.0	0.9910860152991605	0.9910860152991605	0.0003324754292810315	1.164869225914754	0.942
646	270.0	SANTA ROSA	333	0.7273166225796748	1.0	0.5155938807914708	0.5155938807914708	0.00017296409615776207	0.6060013314007391	0.942
2952	0	SANTA ROSA	333	0.7273166225796748	1.0	0.0	0.0	0.0	0.0	0.942
2959	7810.0	SANTA ROSA	333	0.7273166225796748	1.0	14.914030403634767	14.914030403634767	0.005003146633304155	17.529149623110268	0.942
2956	864.0	SANTA ROSA	333	0.7273166225796748	1.0	1.6499004185327066	1.6499004185327066	0.0005534851077048386	1.9392042604823652	0.942
2088	5958.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	9.56735601300953	9.07646864855032	0.0052941778616284255	11.169127034677489	0.905
560	19772.670000000002	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	31.75095220170412	30.121856219055296	0.01756965958027602	37.06671081650831	0.905
1638	4115.08	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	6.607995196712865	6.268948406558652	0.0036565903717405003	7.714308707260932	0.905
2396	573.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	0.9201233627818832	0.872913147972362	0.0005091580924325424	1.0741708276049347	0.905
1951	651.39	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	1.046002019690211	0.9923331508860678	0.0005788141183763242	1.221124145538531	0.905
570	11547.990000000002	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	18.543761591922443	17.592307685258913	0.010261348271954757	21.648366449342948	0.905
2940	45630.5	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	81.58796813796211	80.0435285498845	0.025440150905552683	84.47529308943297	0.920
1594	68410.24	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	122.31845983345221	120.00300234589696	0.03814042864060391	126.64720032255731	0.920
1595	87637.0	CAUCETE CENTRO	335	0.7767774573976227	0.9810702530860186	156.69617391233024	153.7299549977806	0.04885983070336552	162.2415108420604	0.920
2937	78220.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	125.60567091936981	119.16102344572104	0.06950496682386295	146.63462850830365	0.905
2947	4368.68	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	7.015226060240764	6.655284836446594	0.0038819350353371715	8.18971834405083	0.905
593	6004.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	9.641222810021688	9.14654544576974	0.0053350526823123644	11.255360643874395	0.905
2948	3251.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	5.220455588837526	4.95260147305087	0.0028887835226844593	6.094466597807403	0.905
594	6662.200000000001	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	10.69816032726957	10.149253009461555	0.005919918051316029	12.489251112861426	0.905
859	3382.96	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	5.4323569482663165	5.1536304765524985	0.0030060409430638633	6.341844577581832	0.905
2074	479.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	0.769178168887473	0.7297127362631088	0.00042563128494797173	0.8979543218547359	0.905
596	524.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	0.8414391659645842	0.7982661248473257	0.00046561752257356405	0.982313287373448	0.905
1874	16189.38	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	25.99690535244985	24.663041290612213	0.014385608793133602	30.349318870873958	0.905
956	4640.0	SANTA ROSA	333	0.7273166225796748	1.0	8.86057632174972	8.86057632174972	0.002972420022859318	10.414245102590478	0.942
2258	4717.299999999999	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	7.575040033596818	7.186375554851697	0.004191712861137927	8.843256623142683	0.905
2286	12656.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	20.323003977953775	19.280259687152203	0.011245907186433257	23.72549039121824	0.905
582	3035.0	DE LOS RIOS	332	0.8649202547441315	0.9486914290853492	4.873602802867392	4.62354520784663	0.0026968495820816167	5.689543563317586	0.905
2962	350.0	SANTA ROSA	333	0.7273166225796748	1.0	0.6683624380630178	0.6683624380630178	0.00022421271724154342	0.7855572814454026	0.942
957	7091.0	SANTA ROSA	333	0.7273166225796748	1.0	13.54102299515674	13.54102299515674	0.0045425496513136696	15.915390522083856	0.942
958	5427.24	SANTA ROSA	333	0.7273166225796748	1.0	10.363895309580377	10.363895309580377	0.003476732078634268	12.181165429004988	0.942
2949	78.0	SANTA ROSA	333	0.7273166225796748	1.0	0.14894934333975823	0.14894934333975823	4.9967405556686816e-05	0.17506705129354685	0.942
2966	114.0	SANTA ROSA	333	0.7273166225796748	1.0	0.21769519411195434	0.21769519411195434	7.302928504438842e-05	0.2558672288136454	0.942
2968	4176.49	SANTA ROSA	333	0.7273166225796748	1.0	7.975454396988036	7.975454396988036	0.0026754919183775245	9.373920372525454	0.942
