ID_Seta	seta	usuario_su	gu_sum	usuarios_t	distribuid	num_int	conexion	tension	kva	num_fabr	marca_traf	mod_traf	gener_dato	observacio	fecha_act	x	y	multa_esti	ID_Bus
86	211.0	0.0	1.0	1.0	CAUCETE CENTRO	302	3.0	13,2	500.0	S/N	S/M	NIVEL	DECSA	NULL	27/11/2017	2567273.5958797685	6499838.297615934	100	1254.0
87	236.0	81.0	2.0	83.0	DE LOS RIOS	24	3.0	13,2	160.0	31277/109	ELECTRODINE	CN 276	DECSA	NULL	27/11/2017	2565340.1229994614	6501181.720575928	100	806.0
88	237.0	4.0	1.0	5.0	CAUCETE CENTRO	113	3.0	13,2	80.0	7599	MIRON	CN 280	DECSA	NULL	27/11/2017	2565636.1468174155	6502475.73497869	100	823.0
90	239.0	10.0	1.0	11.0	CAUCETE CENTRO	75	3.0	13,2	50.0	1093	TRAFO	CN 276	DECSA	NULL	27/11/2017	2567102.172376551	6500119.245997473	100	1259.0
91	241.0	4.0	0.0	4.0	CAUCETE CENTRO	42	3.0	13,2	10.0	21898	T.CZERWENY	CN 276	DECSA	NULL	27/11/2017	2568414.700368477	6499174.617569618	100	1281.0
89	238.0	1.0	1.0	2.0	CAUCETE CENTRO	439	3.0	13,2	25.0	18920	MECOM	CN 276	DECSA	NULL	27/11/2017	2566877.4882197063	6500463.847011747	100	1260.0
113	570.0	12.0	1.0	13.0	DE LOS RIOS	500	3.0	13,2	100.0	36132	VASILE	CN 276	DECSA	NULL	27/11/2017	2567605.489350255	6492637.399722735	100	1035.0
114	582.0	9.0	2.0	11.0	DE LOS RIOS	441	3.0	13,2	125.0	49191	MAYO	CN 280	DECSA	NULL	27/11/2017	2565657.9233286083	6493042.262925675	100	1030.0
115	592.0	2.0	0.0	2.0	DE LOS RIOS	411	3.0	13,2	63.0	137	RUAR	CN 280	DECSA	NULL	27/11/2017	2563013.197089444	6506360.058558172	100	870.0
116	593.0	2.0	1.0	3.0	DE LOS RIOS	451	3.0	13,2	100.0	53789	MAYO	CN 276	DECSA	NULL	27/11/2017	2563600.700317568	6505708.20397252	100	899.0
118	596.0	0.0	0.0	0.0	DE LOS RIOS	399	3.0	13,2	16.0	2096	NICORO	CN 280	DECSA	NULL	27/11/2017	2561924.573558086	6502610.580323984	100	64.0
119	604.0	7.0	3.0	10.0	DE LOS RIOS	72	3.0	13,2	100.0	453207	FARADAY	CN 280	DECSA	NULL	27/11/2017	2566934.839541826	6502241.713546612	100	938.0
120	609.0	7.0	0.0	7.0	SANTA ROSA	178	3.0	13,2	25.0	24753	ELECTRA	CN 280	DECSA	NULL	27/11/2017	2567183.153646302	6497046.738397932	100	363.0
121	635.0	3.0	2.0	5.0	DE LOS RIOS	191	2.0	13,2	5.0	30581	T.CZERWENY	CN 280	DECSA	NULL	27/11/2017	2566201.3237925726	6495562.575874894	100	1013.0
124	645.0	84.0	2.0	86.0	SANTA ROSA	231	3.0	13,2	160.0	25363	ELECTRA	CN 280	DECSA	NULL	27/11/2017	2573862.907995737	6497236.499292346	100	482.0
125	646.0	2.0	0.0	2.0	SANTA ROSA	3	1.0	7,6	5.0	29588	T.CZERWENY	CN 282	DECSA	NULL	27/11/2017	2575768.5026616277	6492184.031307059	100	441.0
126	651.0	4.0	0.0	4.0	DE LOS RIOS	446	3.0	13,2	25.0	681	T.S.J.	CN 280	DECSA	NULL	27/11/2017	2566373.154445017	6506047.028583434	100	911.0
129	695.0	9.0	3.0	12.0	SANTA ROSA	351	3.0	13,2	160.0	39738	MAYO	CN 276	DECSA	NULL	27/11/2017	2572007.096587086	6499745.963038394	100	93.0
138	848.0	2.0	1.0	3.0	DE LOS RIOS	17	3.0	13,2	100.0	10584	T.T.E.	CN 280	DECSA	NULL	27/11/2017	2565611.2564234487	6495682.5894779675	100	1014.0
145	969.0	0.0	1.0	1.0	SANTA ROSA	110	3.0	13,2	80.0	2648	TRAFO	NIVEL	DECSA	NULL	27/11/2017	2579483.862695888	6493697.158703989	100	512.0
143	967.0	2.0	3.0	5.0	DE LOS RIOS	551	3.0	13,2	160.0	76325	MAYO	CN 276	DECSA	NULL	27/11/2017	2562823.4023177726	6504411.473704366	100	845.0
144	968.0	8.0	1.0	9.0	SANTA ROSA	71	3.0	13,2	80.0	23606	ELECTRA	CN 276	DECSA	NULL	27/11/2017	2568108.39310248	6494897.511511838	100	408.0
154	1213.0	1.0	0.0	1.0	DE LOS RIOS	204	2.0	13,2	5.0	S3931	T.T.E.	CN 282	DECSA	NULL	27/11/2017	2565049.712015084	6494491.79803073	100	1002.0
146	1000.0	4.0	0.0	4.0	DE LOS RIOS	347	2.0	13,2	5.0	38640	MAYO	CN 280	DECSA	NULL	27/11/2017	2564641.738046402	6504425.165634888	100	882.0
147	1002.0	7.0	2.0	9.0	DE LOS RIOS	216	3.0	13,2	63.0	4813	MIRAS	CN 280	DECSA	NULL	27/11/2017	2565675.8809873415	6494360.917020683	100	1005.0
148	1032.0	9.0	3.0	12.0	DE LOS RIOS	239	3.0	13,2	160.0	48762	T.CZERWENY	CN 276	DECSA	NULL	27/11/2017	2565074.7012243965	6499914.9016478155	100	28.0
149	1046.0	8.0	0.0	8.0	DE LOS RIOS	480	3.0	13,2	40.0	58174	MAYO	CN 276	DECSA	NULL	27/11/2017	2563775.997094007	6493433.603890496	100	1001.0
151	1105.0	3.0	0.0	3.0	DE LOS RIOS	123	3.0	13,2	16.0	1338	MENDOZA	CN 276	DECSA	NULL	27/11/2017	2562617.360284667	6506473.007318623	100	871.0
153	1212.0	0.0	2.0	2.0	DE LOS RIOS	63	3.0	13,2	160.0	387	TRAFO	CN 280	DECSA	SETA NUEVA, SE DEJA FUERA DE SERVICIO SETA ANTIGUA CN 276	27/11/2017	2564123.9048387473	6495508.8692859	100	3.0
155	1228.0	5.0	0.0	5.0	SANTA ROSA	517	1.0	7,6	5.0	68337	MAYO	CN 282	DECSA	NULL	27/11/2017	2572477.849430059	6496613.424627852	100	471.0
157	1236.0	8.0	1.0	9.0	DE LOS RIOS	35	3.0	13,2	63.0	2469	TRAFO	CN 276	DECSA	NULL	27/11/2017	2564818.317057055	6502632.510054014	100	66.0
166	1354.0	1.0	2.0	3.0	DE LOS RIOS	482	3.0	13,2	100.0	34257	VASILE	CN 276	DECSA	NULL	27/11/2017	2563172.137548584	6497124.631396584	100	27.0
168	1356.0	5.0	0.0	5.0	SANTA ROSA	40	3.0	13,2	25.0	10056	MECOM	CN 276	DECSA	NULL	27/11/2017	2573114.412477549	6493231.887296886	100	425.0
422	114.0	NULL	NULL	NULL	COOPERATIVA	635	3.0	13,2	315.0	87285	MAYO	CN 276	DECSA	NULL	NULL	NULL	NULL	NULL	1630.0
173	1533.0	153.0	1.0	154.0	CAUCETE CENTRO	432	3.0	13,2	160.0	29856	VASILE	CN 280	DECSA	NULL	27/11/2017	2567743.3806462134	6499658.241943503	100	1248.0
174	1543.0	7.0	3.0	10.0	DE LOS RIOS	505	3.0	13,2	315.0	36127	VASILE	CN 276	DECSA	NULL	27/11/2017	2563775.596038863	6500129.514867121	100	787.0
175	1569.0	3.0	0.0	3.0	DE LOS RIOS	545	3.0	13,2	40.0	72023	MAYO	CN 280	DECSA	NULL	27/11/2017	2566502.601908534	6498227.941957778	100	766.0
176	1592.0	5.0	0.0	5.0	SANTA ROSA	335	3.0	13,2	16.0	127	RUAR	CN 280	DECSA	SETA REACONDICIONADA A NUEVA ANTES ERA UNA CN282	27/11/2017	2572367.064429575	6496054.943496443	100	470.0
177	1594.0	154.0	1.0	155.0	CAUCETE CENTRO	600	3.0	13,2	315.0	40899	VASILE	CN 276	DECSA	NULL	27/11/2017	2567251.952715322	6499045.703933328	100	1221.0
178	1595.0	143.0	0.0	143.0	CAUCETE CENTRO	64	3.0	13,2	315.0	31522/8	ELECTRODINE	CN 276	DECSA	NULL	27/11/2017	2567372.4416438006	6499300.219645353	100	1228.0
179	1638.0	1.0	2.0	3.0	DE LOS RIOS	495	3.0	13,2	80.0	36137	VASILE	CN 276	DECSA	NULL	27/11/2017	2570949.4648305955	6491917.6825911375	100	1051.0
181	1678.0	1.0	0.0	1.0	SANTA ROSA	200	1.0	7,6	5.0	32237	T. CZERWENY	CN 282	DECSA	NULL	27/11/2017	2573670.791377195	6496218.375676621	100	483.0
186	1962.0	31.0	0.0	31.0	SANTA ROSA	9	3.0	13,2	200.0	4531-11	FARADAY	CN 276	DECSA	NULL	27/11/2017	2596296.421954271	6488974.451176246	100	614.0
187	1963.0	NULL	NULL	NULL	SANTA ROSA	236	3.0	13,2	63.0	22253	ELECTRA	CN 280	DECSA	NULL	27/11/2017	2595547.083557443	6488058.819064799	100	1621.0
194	2088.0	20.0	0.0	20.0	DE LOS RIOS	19	3.0	13,2	25.0	2301	MIRAS	CN 280	DECSA	NULL	27/11/2017	2571478.656927131	6491817.67725361	100	1049.0
196	2171.0	17.0	1.0	18.0	DE LOS RIOS	445	3.0	13,2	125.0	51406	MAYO	CN 280	DECSA	NULL	27/11/2017	2564740.4252543394	6498183.256562789	100	781.0
201	2297.0	4.0	0.0	4.0	DE LOS RIOS	605	3.0	13,2	16.0	90581	MAYO	CN 280	DECSA	NULL	27/11/2017	2566186.433034121	6498709.762979578	100	771.0
202	2298.0	3.0	1.0	4.0	SANTA ROSA	205	3.0	13,2	25.0	933 (66933)	TRAFO	CN 282	DECSA	NULL	27/11/2017	2573269.1183558083	6494066.547997987	100	427.0
203	2299.0	9.0	2.0	11.0	DE LOS RIOS	494	3.0	13,2	80.0	36138	VASILE	CN 280	DECSA	NULL	27/11/2017	2565580.7336581363	6498934.311151762	100	773.0
204	2300.0	4.0	0.0	4.0	DE LOS RIOS	50	3.0	13,2	10.0	447020026	SIAM DITELLA	CN 282	DECSA	NULL	14/03/2018	2566129.4262102046	6498433.460621538	100	770.0
207	2396.0	1.0	0.0	1.0	DE LOS RIOS	214	2.0	13,2	10.0	1030	TRAFO	CN 280	DECSA	NULL	27/11/2017	2569703.1748419763	6492183.111785473	100	1045.0
208	2428.0	6.0	0.0	6.0	CAUCETE CENTRO	408	3.0	13,2	40.0	44385	MAYO	CN 280	DECSA	NULL	27/11/2017	2567446.571502803	6500701.21990628	100	1261.0
209	2478.0	13.0	1.0	14.0	SANTA ROSA	558	3.0	13,2	100.0	28417	MIRON	CN 280	DECSA	NULL	27/11/2017	2572308.9262688155	6495631.503701642	100	465.0
210	2479.0	8.0	0.0	8.0	DE LOS RIOS	534	3.0	13,2	25.0	101737	MATEM	CN 282	DECSA	NULL	14/03/2018	2563511.4853106556	6497483.613595135	100	982.0
211	2543.0	5.0	0.0	5.0	DE LOS RIOS	354	3.0	13,2	16.0	132	RUAR	CN 282	DECSA	TRASLADO DE SETA EXIST	27/11/2017	2564492.150484965	6505465.8529680725	100	873.0
213	2549.0	1.0	0.0	1.0	SANTA ROSA	346	2.0	13,2	5.0	38627	MAYO	CN 282	DECSA	NULL	27/11/2017	2574687.505317244	6494396.037661998	100	448.0
214	2583.0	1.0	0.0	1.0	SANTA ROSA	356	3.0	13,2	10.0	134	RUAR	CN 280	DECSA	NULL	27/11/2017	2578515.930197926	6493722.618467441	100	511.0
215	2643.0	6.0	1.0	7.0	DE LOS RIOS	279	3.0	13,2	63.0	6676	MIRAS	CN 280	DECSA	NULL	27/11/2017	2565069.8934209957	6493406.246232718	100	90.0
430	98.0	NULL	NULL	NULL	CAUCETE CENTRO	359	3.0	13,2	200.0	39745	MAYO	CN 280	DECSA	NULL	NULL	NULL	NULL	NULL	1619.0
229	2798.0	23.0	1.0	24.0	SANTA ROSA	324	3.0	13,2	160.0	26102	MAYO	CN 280	DECSA	NULL	27/11/2017	2568117.3218012713	6497259.640384354	100	206.0
230	2897.0	10.0	0.0	10.0	SANTA ROSA	488	2.0	7,6	10.0	831	T.S.J.	CN 282	DECSA	NULL	27/11/2017	2574170.186870862	6497434.3472601045	100	1541.0
231	2898.0	2.0	1.0	3.0	DE LOS RIOS	172	3.0	13,2	63.0	30676/2	ELECTRODINE	CN 280	DECSA	SETA NUEVA, LMT NUEVA Y SECC.NUEVO	27/11/2017	2566413.086536938	6503636.964654938	100	18.0
232	2922.0	3.0	0.0	3.0	SANTA ROSA	232	1.0	7,6	10.0	28733	T.CZERWENY	CN 282	DECSA	NULL	27/11/2017	2584390.3680483648	6488427.906660015	100	532.0
233	2923.0	25.0	0.0	25.0	DE LOS RIOS	247	3.0	13,2	80.0	7628	MIRON	CN 280	DECSA	NULL	27/11/2017	2566483.562641087	6493685.639655296	100	1061.0
234	2924.0	0.0	0.0	0.0	SANTA ROSA	489	3.0	13,2	40.0	36143	VASILE	CN 280	DECSA	NULL	27/11/2017	2573808.995953494	6493256.906758152	100	435.0
235	2927.0	0.0	1.0	1.0	SANTA ROSA	313	3.0	13,2	250.0	306315	ELECTROMAC	CN 276	DECSA	NULL	27/11/2017	2571532.6438388336	6495228.347221293	100	86.0
236	2928.0	66.0	0.0	66.0	SANTA ROSA	230	3.0	13,2	100.0	30187/47	ELECTRODINE	CN 280	DECSA	NULL	27/11/2017	2568947.557117783	6496363.506779284	100	375.0
238	2930.0	73.0	1.0	74.0	SANTA ROSA	641	3.0	13,2	160.0	87645	MAYO	CN 280	DECSA	NULL	27/11/2017	2573796.2871489306	6496695.4304568125	100	103.0
239	2931.0	2.0	3.0	5.0	DE LOS RIOS	165	3.0	13,2	160.0	3385	MIRAS	CN 280	DECSA	NULL	27/11/2017	2565197.0968395555	6500502.875474971	100	805.0
240	2932.0	32.0	2.0	34.0	CAUCETE CENTRO	14	3.0	13,2	63.0	25070	ELECTRA	CN 280	DECSA	NULL	27/11/2017	2567520.2787724184	6499480.101939448	100	1242.0
241	2933.0	153.0	0.0	153.0	CAUCETE CENTRO	67	3.0	13,2	250.0	30260	ELECTRODINE	CN 276	DECSA	NULL	27/11/2017	2569257.451600578	6498582.160344761	100	1559.0
247	2942.0	3.0	1.0	4.0	DE LOS RIOS	23	3.0	13,2	100.0	8763	MIRON	NIVEL	DECSA	NULL	27/11/2017	2567917.255881512	6504778.334457925	100	919.0
260	2956.0	4.0	1.0	5.0	SANTA ROSA	401	3.0	13,2	10.0	45769	MAYO	CN 280	DECSA	NULL	27/11/2017	2572406.7332390826	6492926.290429336	100	421.0
261	2957.0	4.0	0.0	4.0	DE LOS RIOS	124	3.0	13,2	16.0	428240	FARADAY	CN 282	DECSA	TRASLADO DE SETA EXIST	27/11/2017	2566504.1796074426	6494191.000623881	100	1053.0
262	2958.0	6.0	1.0	7.0	DE LOS RIOS	157	3.0	13,2	63.0	1653	ELECTROGALVEZ	CN 280	DECSA	NULL	27/11/2017	2566990.30830566	6496760.925049917	100	1028.0
263	2959.0	4.0	1.0	5.0	SANTA ROSA	300	3.0	13,2	63.0	1703	NIELCO	CN 280	DECSA	NULL	27/11/2017	2573028.4183370583	6492767.503437636	100	97.0
264	2960.0	0.0	0.0	0.0	SANTA ROSA	210	3.0	13,2	16.0	21984	MIRON	CN 282	DECSA	NULL	27/11/2017	2575537.44798084	6491323.848323095	100	440.0
266	2962.0	1.0	0.0	1.0	SANTA ROSA	173	2.0	13,2	5.0	22397	T. CZERWENY	CN 282	DECSA	NULL	27/11/2017	2570435.9135536994	6493011.521990761	100	44.0
269	2965.0	9.0	0.0	9.0	SANTA ROSA	417	3.0	13,2	25.0	1347	FOHAMA	CN 282	DECSA	NULL	27/11/2017	2569806.1427427563	6494837.521398807	100	385.0
270	2966.0	1.0	0.0	1.0	SANTA ROSA	33	2.0	13,2	5.0	80195	MIRON	CN 282	DECSA	NULL	27/11/2017	2569916.9230738	6493462.544300243	100	100.0
271	2967.0	NULL	NULL	NULL	DE LOS RIOS	298	3.0	13,2	16.0	1220	VOLTA	CN 282	DECSA	NULL	27/11/2017	2564836.454568757	6493208.391761646	100	79.0
277	2973.0	3.0	1.0	4.0	DE LOS RIOS	12	3.0	13,2	100.0	1262	ELECO	CN 280	DECSA	NULL	27/11/2017	2566857.3734907103	6495427.339431761	100	1008.0
