Element, Nterminals, Nconductors, P_1, Q_1, ...
"Line.idlinea444_idtramos_578", 2, 3,    141.228,   -35.7905,    141.228,   -35.7905,    141.228,   -35.7905,   -141.185,    35.7722,   -141.185,    35.7722,   -141.185,    35.7722
"Line.idlinea444_idtramos_579", 2, 3,    141.185,   -35.7722,    141.185,   -35.7722,    141.185,   -35.7722,    -141.14,    35.7529,    -141.14,    35.7529,    -141.14,    35.7529
"Line.idlinea444_idtramos_580", 2, 3,     141.14,   -35.7529,     141.14,   -35.7529,     141.14,   -35.7529,   -141.111,    35.7403,   -141.111,    35.7403,   -141.111,    35.7403
"Line.idlinea444_idtramos_581", 2, 3,    141.111,   -35.7403,    141.111,   -35.7403,    141.111,   -35.7403,   -141.036,    35.7086,   -141.036,    35.7086,   -141.036,    35.7086
"Line.idlinea444_idtramos_582", 2, 3,    141.036,   -35.7086,    141.036,   -35.7086,    141.036,   -35.7086,   -141.026,    35.7043,   -141.026,    35.7043,   -141.026,    35.7043
"Line.idlinea444_idtramos_583", 2, 3,    141.026,   -35.7043,    141.026,   -35.7043,    141.026,   -35.7043,   -141.017,    35.7005,   -141.017,    35.7005,   -141.017,    35.7005
"Line.idlinea444_idtramos_584", 2, 3,    141.017,   -35.7005,    141.017,   -35.7005,    141.017,   -35.7005,       -141,    35.6933,       -141,    35.6933,       -141,    35.6933
"Line.idlinea444_idtramos_585", 2, 3,        141,   -35.6933,        141,   -35.6933,        141,   -35.6933,   -140.937,    35.6666,   -140.937,    35.6666,   -140.937,    35.6666
"Line.idlinea444_idtramos_586", 2, 3,    140.937,   -35.6666,    140.937,   -35.6666,    140.937,   -35.6666,   -140.871,    35.6387,   -140.871,    35.6387,   -140.871,    35.6387
"Line.idlinea444_idtramos_587", 2, 3,    140.871,   -35.6387,    140.871,   -35.6387,    140.871,   -35.6387,   -140.861,    35.6346,   -140.861,    35.6346,   -140.861,    35.6346
"Line.idlinea444_idtramos_588", 2, 3,    140.861,   -35.6346,    140.861,   -35.6346,    140.861,   -35.6346,   -140.851,    35.6301,   -140.851,    35.6301,   -140.851,    35.6301
"Line.idlinea444_idtramos_589", 2, 3,    140.851,   -35.6301,    140.851,   -35.6301,    140.851,   -35.6301,   -140.839,    35.6253,   -140.839,    35.6253,   -140.839,    35.6253
"Line.idlinea444_idtramos_590", 2, 3,    140.839,   -35.6253,    140.839,   -35.6253,    140.839,   -35.6253,   -140.816,    35.6156,   -140.816,    35.6156,   -140.816,    35.6156
"Line.idlinea445_idtramos_592", 2, 3,    140.536,   -35.7116,    140.536,   -35.7116,    140.536,   -35.7116,   -140.499,    35.6959,   -140.499,    35.6959,   -140.499,    35.6959
"Line.idlinea445_idtramos_593", 2, 3,    140.499,   -35.6959,    140.499,   -35.6959,    140.499,   -35.6959,   -140.482,    35.6888,   -140.482,    35.6888,   -140.482,    35.6888
"Line.idlinea445_idtramos_594", 2, 3,    140.482,   -35.6888,    140.482,   -35.6888,    140.482,   -35.6888,   -140.462,    35.6802,   -140.462,    35.6802,   -140.462,    35.6802
"Line.idlinea445_idtramos_595", 2, 3,    140.462,   -35.6802,    140.462,   -35.6802,    140.462,   -35.6802,   -140.424,    35.6643,   -140.424,    35.6643,   -140.424,    35.6643
"Line.idlinea445_idtramos_596", 2, 3,    140.424,   -35.6643,    140.424,   -35.6643,    140.424,   -35.6643,     -140.4,    35.6539,     -140.4,    35.6539,     -140.4,    35.6539
"Line.idlinea445_idtramos_597", 2, 3,      140.4,   -35.6539,      140.4,   -35.6539,      140.4,   -35.6539,   -140.394,    35.6513,   -140.394,    35.6513,   -140.394,    35.6513
"Line.idlinea445_idtramos_598", 2, 3,    140.394,   -35.6513,    140.394,   -35.6513,    140.394,   -35.6513,   -140.373,    35.6425,   -140.373,    35.6425,   -140.373,    35.6425
"Line.idlinea445_idtramos_599", 2, 3,    140.373,   -35.6425,    140.373,   -35.6425,    140.373,   -35.6425,   -140.353,    35.6341,   -140.353,    35.6341,   -140.353,    35.6341
"Line.idlinea445_idtramos_600", 2, 3,    140.353,   -35.6341,    140.353,   -35.6341,    140.353,   -35.6341,     -140.3,    35.6114,     -140.3,    35.6114,     -140.3,    35.6114
"Line.idlinea445_idtramos_601", 2, 3,      140.3,   -35.6114,      140.3,   -35.6114,      140.3,   -35.6114,   -140.257,    35.5935,   -140.257,    35.5935,   -140.257,    35.5935
"Line.idlinea445_idtramos_602", 2, 3,    140.257,   -35.5935,    140.257,   -35.5935,    140.257,   -35.5935,   -140.176,    35.5591,   -140.176,    35.5591,   -140.176,    35.5591
"Line.idlinea445_idtramos_603", 2, 3,    140.176,   -35.5591,    140.176,   -35.5591,    140.176,   -35.5591,   -140.162,     35.553,   -140.162,     35.553,   -140.162,     35.553
"Line.idlinea446_idtramos_604", 2, 3,    140.113,   -35.6509,    140.113,   -35.6509,    140.113,   -35.6509,   -139.997,    35.6019,   -139.997,    35.6019,   -139.997,    35.6019
"Line.idlinea446_idtramos_605", 2, 3,    139.997,   -35.6019,    139.997,   -35.6019,    139.997,   -35.6019,   -139.911,    35.5658,   -139.911,    35.5658,   -139.911,    35.5658
"Line.idlinea446_idtramos_606", 2, 3,    139.911,   -35.5658,    139.911,   -35.5658,    139.911,   -35.5658,    -139.58,    35.4269,    -139.58,    35.4269,    -139.58,    35.4269
"Line.idlinea446_idtramos_607", 2, 3,     139.58,   -35.4269,     139.58,   -35.4269,     139.58,   -35.4269,   -139.524,    35.4035,   -139.524,    35.4035,   -139.524,    35.4035
"Line.idlinea312_idtramos_421", 2, 3,    671.194,    332.656,    671.194,    332.656,    671.194,    332.656,   -671.067,   -332.579,   -671.067,   -332.579,   -671.067,   -332.579
"Line.idlinea313_idtramos_422", 2, 3,    586.713,    290.327,    586.713,    290.327,    586.713,    290.327,     -586.4,   -290.142,     -586.4,   -290.142,     -586.4,   -290.142
"Line.idlinea314_idtramos_423", 2, 3,      586.4,    290.142,      586.4,    290.142,      586.4,    290.142,   -585.625,   -289.684,   -585.625,   -289.684,   -585.625,   -289.684
"Line.idlinea315_idtramos_424", 2, 3,    583.392,     288.52,    583.392,     288.52,    583.392,     288.52,   -581.964,   -287.676,   -581.964,   -287.676,   -581.964,   -287.676
"Line.idlinea316_idtramos_425", 2, 3,     576.48,    284.884,     576.48,    284.884,     576.48,    284.884,   -574.359,   -283.631,   -574.359,   -283.631,   -574.359,   -283.631
"Line.idlinea317_idtramos_426", 2, 3,    576.836,    285.094,    576.836,    285.094,    576.836,    285.094,    -576.48,   -284.884,    -576.48,   -284.884,    -576.48,   -284.884
"Line.idlinea318_idtramos_427", 2, 3,    566.366,    280.098,    566.366,    280.098,    566.366,    280.098,   -566.319,    -280.07,   -566.319,    -280.07,   -566.319,    -280.07
"Line.idlinea398_idtramos_521", 2, 3,    373.609,    185.008,    373.609,    185.008,    373.609,    185.008,   -372.764,   -184.674,   -372.764,   -184.674,   -372.764,   -184.674
"Line.idlinea399_idtramos_522", 2, 3,    372.297,    184.428,    372.297,    184.428,    372.297,    184.428,    -371.12,   -183.963,    -371.12,   -183.963,    -371.12,   -183.963
"Line.idlinea278_idtramos_368", 2, 3,    19.7835,   -13.6923,    19.7835,   -13.6923,    19.7835,   -13.6923,   -19.7833,    13.4644,   -19.7833,    13.4644,   -19.7833,    13.4644
"Line.idlinea270_idtramos_332", 2, 3,    10.4062,  -0.667115,    10.4062,  -0.667115,    10.4062,  -0.667115,   -10.4061,   0.652894,   -10.4061,   0.652894,   -10.4061,   0.652894
"Line.idlinea278_idtramos_372", 2, 3,     19.783,   -13.0042,     19.783,   -13.0042,     19.783,   -13.0042,   -19.7829,    12.9908,   -19.7829,    12.9908,   -19.7829,    12.9908
"Line.idlinea278_idtramos_373", 2, 3,    19.7829,   -12.9908,    19.7829,   -12.9908,    19.7829,   -12.9908,   -19.7829,    12.8941,   -19.7829,    12.8941,   -19.7829,    12.8941
"Line.idlinea278_idtramos_374", 2, 3,    19.7829,   -12.8941,    19.7829,   -12.8941,    19.7829,   -12.8941,   -19.7828,    12.8371,   -19.7828,    12.8371,   -19.7828,    12.8371
"Line.idlinea278_idtramos_375", 2, 3,    19.7828,   -12.8371,    19.7828,   -12.8371,    19.7828,   -12.8371,   -19.7828,    12.7649,   -19.7828,    12.7649,   -19.7828,    12.7649
"Line.idlinea444_idtramos_591", 2, 3,    140.816,   -35.6156,    140.816,   -35.6156,    140.816,   -35.6156,   -140.759,    35.5915,   -140.759,    35.5915,   -140.759,    35.5915
"Line.idlinea447_idtramos_608", 2, 3,    136.176,   -37.1478,    136.176,   -37.1478,    136.176,   -37.1478,   -135.982,    37.0584,   -135.982,    37.0584,   -135.982,    37.0584
"Line.idlinea447_idtramos_609", 2, 3,    135.982,   -37.0584,    135.982,   -37.0584,    135.982,   -37.0584,   -135.973,    37.0544,   -135.973,    37.0544,   -135.973,    37.0544
"Line.idlinea854_idtramos_1264", 2, 3,    65.9291,   -63.7944,    65.9291,   -63.7944,    65.9291,   -63.7944,    -65.927,    63.6135,    -65.927,    63.6135,    -65.927,    63.6135
"Line.idlinea854_idtramos_1265", 2, 3,     65.927,   -63.6135,     65.927,   -63.6135,     65.927,   -63.6135,   -65.9248,    63.4313,   -65.9248,    63.4313,   -65.9248,    63.4313
"Line.idlinea854_idtramos_1266", 2, 3,    65.9248,   -63.4313,    65.9248,   -63.4313,    65.9248,   -63.4313,   -65.9222,    63.2046,   -65.9222,    63.2046,   -65.9222,    63.2046
"Line.idlinea854_idtramos_1267", 2, 3,    65.9222,   -63.2046,    65.9222,   -63.2046,    65.9222,   -63.2046,   -65.9194,    62.9613,   -65.9194,    62.9613,   -65.9194,    62.9613
"Line.idlinea854_idtramos_1268", 2, 3,    65.9194,   -62.9613,    65.9194,   -62.9613,    65.9194,   -62.9613,   -65.9167,    62.7298,   -65.9167,    62.7298,   -65.9167,    62.7298
"Line.idlinea854_idtramos_1269", 2, 3,    65.9167,   -62.7298,    65.9167,   -62.7298,    65.9167,   -62.7298,   -65.9156,    62.6302,   -65.9156,    62.6302,   -65.9156,    62.6302
"Line.idlinea854_idtramos_1270", 2, 3,    65.9156,   -62.6302,    65.9156,   -62.6302,    65.9156,   -62.6302,   -65.9139,    62.4845,   -65.9139,    62.4845,   -65.9139,    62.4845
