buset,-31.656363,-68.290306
1373,-31.656497982217555,-68.2900943836254
1407,-31.656395929565747,-68.29006832603258
61,-31.656392298519226,-68.29006769005086
67,-31.656377151304447,-68.29006187118846
1366,-31.656156359398206,-68.29002393608447
1,-31.696342605740902,-68.3360505710602
2,-31.6971875674732,-68.33068354471075
837,-31.69769441324624,-68.32749644463273
853,-31.669404602138638,-68.32082497742728
854,-31.669472140929603,-68.32037296835851
1364,-31.674880032788234,-68.32207103977868
829,-31.674897099780896,-68.32197039691403
831,-31.67903136842721,-68.32306859014598
3,-31.678995065567538,-68.3237434774526
835,-31.689063458234685,-68.3254282567825
4,-31.68901443485456,-68.32575825865472
836,-31.692205905833937,-68.32617697170687
825,-31.663121234752477,-68.31935133555633
820,-31.663031817837343,-68.31983963682369
5,-31.688550829009955,-68.31138823155584
839,-31.68811489362726,-68.31391296445622
840,-31.68858347621404,-68.31117311267225
1363,-31.651274823351955,-68.31659484210945
648,-31.65133317127423,-68.3162977677919
886,-31.690929568545663,-68.29758010909684
892,-31.69129535704657,-68.29768409851529
851,-31.677298065502196,-68.30833184827348
848,-31.67734434942277,-68.30807031575922
1294,-31.587639808722656,-68.32991137529162
6,-31.58750918893925,-68.32992766468591
229,-31.58737823856592,-68.32992569189942
1742,-31.588462824620333,-68.32489479211776
732,-31.59004835000813,-68.31677400218489
727,-31.589855488902806,-68.31672773264206
757,-31.593269680973894,-68.29553534092368
758,-31.593114886887783,-68.29550209810138
744,-31.5921476143024,-68.30262924800948
755,-31.59114724016804,-68.30240138010767
7,-31.588341077849208,-68.34535008930705
8,-31.587667748845423,-68.33476431026763
9,-31.587546269992824,-68.33440779138898
10,-31.58714295906664,-68.3337860224646
11,-31.58704091626636,-68.33346943370033
12,-31.58707736013641,-68.33332967829992
13,-31.587121092761624,-68.33321274010771
1293,-31.587376199332823,-68.33163835273969
749,-31.58315208791344,-68.33046775604252
753,-31.582266894527493,-68.33047408075704
1782,-31.602033938398453,-68.31976849199593
733,-31.598558149080635,-68.31886906428826
14,-31.60556535053715,-68.300152351238
739,-31.60460431285211,-68.30549193977293
756,-31.59224624895874,-68.30200566774559
15,-31.657790176838184,-68.33251930469596
823,-31.660796898047813,-68.33324030998865
16,-31.67182389548607,-68.33119868481704
17,-31.671374896844306,-68.33145595769848
18,-31.67066594667275,-68.33183847637365
19,-31.66767435094011,-68.33349136859528
20,-31.665540110231,-68.33391731952526
21,-31.66510997900712,-68.33394619755441
22,-31.664718079935884,-68.33391892386011
1749,-31.664476836125317,-68.33388433305828
654,-31.659519342723662,-68.318482172741
653,-31.654842716999777,-68.31741838342349
1423,-31.6392077458311,-68.31400889662855
668,-31.63968344299529,-68.31409696515247
76,-31.642134723889004,-68.30046550872117
671,-31.641892097115026,-68.30184955206205
657,-31.63851827603876,-68.32100202205986
658,-31.63734519194878,-68.32771664914429
660,-31.642129240997622,-68.32906995305275
664,-31.642020595060657,-68.3295938678218
642,-31.653641628910883,-68.30307284119868
644,-31.65357097775041,-68.30305769201242
1673,-31.598729651189696,-68.3383082963269
693,-31.59852489567161,-68.33945617674405
289,-31.691263470719655,-68.22715812625005
292,-31.69135887602183,-68.22666152639474
646,-31.65001222497009,-68.30220903300524
23,-31.647390307190484,-68.30156997291498
24,-31.58239548164644,-68.28954377874433
25,-31.584858226263908,-68.28707858472393
26,-31.585624328934703,-68.28729621378578
89,-31.588040903044885,-68.2878365934869
304,-31.70805392345836,-68.20171327696629
302,-31.708111589274843,-68.20170607714806
871,-31.707172557748468,-68.27300118715569
1724,-31.70711507484352,-68.27298794909626
312,-31.69496739452514,-68.20739210371455
310,-31.69526689457794,-68.2074349061337
1378,-31.688087980513256,-68.21219764252764
317,-31.688142401927717,-68.21187445266787
1288,-31.691184141376898,-68.2275913276302
1272,-31.70071659685232,-68.24279466637554
276,-31.70058965414563,-68.24276704361014
272,-31.698466687762632,-68.25645270386023
27,-31.701145651615438,-68.25700160595723
28,-31.667958384616917,-68.29226952186046
29,-31.67006187925077,-68.29268563336173
30,-31.674757478157385,-68.29364407301964
1812,-31.66764342617206,-68.22219502546238
353,-31.667974419650857,-68.2222650551778
382,-31.65146880645537,-68.24594686045236
1274,-31.65120614429657,-68.24588338619989
113,-31.651324731502317,-68.2466708693337
383,-31.65293670401503,-68.23851611003542
380,-31.653859292345462,-68.23322579305996
876,-31.710056673940013,-68.25674750805722
878,-31.710097536283374,-68.2567203270647
707,-31.604752996905216,-68.33577690427732
688,-31.604815400154795,-68.33602256775231
1414,-31.61195220954853,-68.33358209360277
705,-31.61155386505366,-68.33386586512817
381,-31.65394340326385,-68.23272413859391
1686,-31.65430728225729,-68.23279762149215
379,-31.653999805470143,-68.23238773468728
377,-31.65387878911376,-68.23216721223353
31,-31.611904845166737,-68.33408549825941
32,-31.61171751221217,-68.33414300022484
33,-31.61169322272742,-68.33462358767325
34,-31.611766091163,-68.33553057170055
35,-31.61218872696399,-68.3372874967345
36,-31.61302427715374,-68.34034785478885
37,-31.615071829193727,-68.34738411137793
686,-31.614683514800955,-68.31977340439568
38,-31.61420899226486,-68.31958623555388
39,-31.614714599282927,-68.31689053512498
40,-31.625499511858024,-68.3250793234761
717,-31.625015887304524,-68.32499655726609
719,-31.62545667077974,-68.32538299542225
729,-31.58988478125845,-68.31649852439969
41,-31.59155096527375,-68.3063597846093
743,-31.592102033000916,-68.30295762739506
1731,-31.580518503592668,-68.29993332745927
42,-31.58118462464567,-68.2961957649357
1719,-31.58001011939005,-68.29984121592707
376,-31.65624947404146,-68.21979989016305
371,-31.656776659882155,-68.21990659666653
369,-31.656578237348512,-68.21821165905014
1360,-31.657019296524247,-68.21818549822696
363,-31.641740646779493,-68.23345271321098
43,-31.641510108692103,-68.23340124587526
236,-31.66917514869317,-68.28391488821481
248,-31.668896681211116,-68.28386594371801
45,-31.600185245184857,-68.32986359962328
745,-31.601810446023464,-68.32088501455861
863,-31.70003517719932,-68.31415185709231
44,-31.69970072259657,-68.31607719015645
699,-31.5989946404804,-68.33666637964599
46,-31.59224547250492,-68.30265500993083
47,-31.592199680549516,-68.30297078520718
741,-31.59861932494265,-68.30448585726465
48,-31.686557170239176,-68.2521882015769
1734,-31.6862635721734,-68.2537611806581
1318,-31.676116779083408,-68.24449574252934
49,-31.67618972099285,-68.24454386379185
50,-31.68108671010733,-68.24559526376555
51,-31.69988029449364,-68.31414343175877
52,-31.697903245646767,-68.31362806430175
256,-31.677250330197545,-68.25191009959713
257,-31.677329538919118,-68.25136475784444
57,-31.68882050449647,-68.31123441596723
735,-31.602139638011067,-68.3191657252289
72,-31.640986060394315,-68.23779600287861
53,-31.64060717496096,-68.2400715207825
54,-31.640317651664667,-68.2409232242538
329,-31.678402628379065,-68.2309166363813
331,-31.678673126738467,-68.23097241241585
1706,-31.67750376969529,-68.25196045963006
1675,-31.703183910952244,-68.22963826384105
284,-31.70287871716463,-68.22957544626935
890,-31.69304763865981,-68.28467930858886
1340,-31.693191542503087,-68.28364722368737
271,-31.695492471561717,-68.27014824324176
55,-31.697110162493463,-68.2625080046788
56,-31.6984259779978,-68.25655171465267
1090,-31.66137063436815,-68.2584041410002
1539,-31.661049230566764,-68.25832495894065
964,-31.66079452218034,-68.26172043745463
351,-31.66771339805752,-68.22183439079636
1346,-31.66825605274519,-68.21863113696622
