SetProp, 1E050,   -1E050, 1E050, -1E050, 16777215, 16777215, 0, 4
ClickOn
SetProp, 1E050,   -1E050, 1E050, -1E050, 16777215, 16777215, 1, 0
Xlabel, "X"
Ylabel, "Y"
TxtAlign, 1
KeyClass, 1
ChartCaption, "source:Power, max=2E003 "
Line, "Line.13446853", "3814019_p", "13446853_p", 0, 6,  0, 0, 5.7735027, 0, -79.104262, -8.10236, -79.104248, -8.1023493, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.13555564", "13555570_p", "13555564_p", 192, 6,  0, 0, 5.7735027, 0, -79.082626, -8.0919341, -79.083061, -8.0917902, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13555570", "13555616_p", "13555570_p", 384, 6,  0, 0, 5.7735027, 0, -79.082184, -8.0920665, -79.082626, -8.0919341, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13555616", "13555627_p", "13555616_p", 576, 6,  0, 0, 5.7735027, 0, -79.081757, -8.0922003, -79.082184, -8.0920665, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13555627", "13555633_p", "13555627_p", 768, 6,  0, 0, 5.7735027, 0, -79.081306, -8.0923071, -79.081757, -8.0922003, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13555633", "13555649_p", "13555633_p", 960, 6,  0, 0, 5.7735027, 0, -79.080841, -8.0923948, -79.081306, -8.0923071, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13555649", "13555660_p", "13555649_p", 1152, 6,  0, 0, 5.7735027, 0, -79.080376, -8.0925016, -79.080841, -8.0923948, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13555660", "13555666_p", "13555660_p", 1344, 6,  0, 0, 5.7735027, 0, -79.079918, -8.0925989, -79.080376, -8.0925016, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13555666", "13602024_p", "13555666_p", 1536, 6,  0, 0, 5.7735027, 0, -79.079456, -8.0926871, -79.079918, -8.0925989, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13602024", "13602065_p", "13602024_p", 1728, 6,  0, 0, 5.7735027, 0, -79.078987, -8.0927839, -79.079456, -8.0926871, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13602065", "13602070_p", "13602065_p", 1920, 6,  0, 0, 5.7735027, 0, -79.078542, -8.0928617, -79.078987, -8.0927839, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13602070", "13981264_p", "13602070_p", 2112, 6,  0, 0, 5.7735027, 0, -79.078087, -8.0929699, -79.078542, -8.0928617, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13602075", "3845020_p", "13602075_p", 2304, 6,  0, 0, 5.7735027, 0, -79.097321, -8.0873013, -79.097488, -8.0872288, 16711680, 3, 0, 0, 0, 0, 16, 1
Line, "Line.13912616", "3806737_p", "13912616_p", 2496, 6,  0, 0, 5.7735027, 0, -79.064839, -8.0997685, -79.065163, -8.0996981, 16711680, 3, 0, 0, 0, 0, 16, 1
Line, "Line.13912631", "2913152_p", "13912631_p", 2688, 6,  0, 0, 5.7735027, 0, -79.055168, -8.095953, -79.055244, -8.0960884, 16711680, 10, 0, 0, 0, 0, 16, 1
Line, "Line.13981264", "13981269_p", "13981264_p", 2880, 6,  0, 0, 5.7735027, 0, -79.077614, -8.0930576, -79.078087, -8.0929699, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981269", "13981274_p", "13981269_p", 3072, 6,  0, 0, 5.7735027, 0, -79.077156, -8.0931549, -79.077614, -8.0930576, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981274", "13981279_p", "13981274_p", 3264, 6,  0, 0, 5.7735027, 0, -79.076704, -8.0932521, -79.077156, -8.0931549, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981279", "13981284_p", "13981279_p", 3456, 6,  0, 0, 5.7735027, 0, -79.076233, -8.0933495, -79.076704, -8.0932521, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981284", "13981290_p", "13981284_p", 3648, 6,  0, 0, 5.7735027, 0, -79.075729, -8.0934467, -79.076233, -8.0933495, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981290", "13981299_p", "13981290_p", 3840, 6,  0, 0, 5.7735027, 0, -79.075356, -8.0935173, -79.075729, -8.0934467, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981299", "13981304_p", "13981299_p", 4032, 6,  0, 0, 5.7735027, 0, -79.074951, -8.0935965, -79.075356, -8.0935173, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981304", "13981309_p", "13981304_p", 4224, 6,  0, 0, 5.7735027, 0, -79.074554, -8.0936947, -79.074951, -8.0935965, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981309", "13981314_p", "13981309_p", 4416, 6,  0, 0, 5.7735027, 0, -79.074139, -8.0937816, -79.074554, -8.0936947, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981314", "13981329_p", "13981314_p", 4608, 6,  0, 0, 5.7735027, 0, -79.073717, -8.0938636, -79.074139, -8.0937816, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981324", "2915583_p", "13981324_p", 4800, 6,  0, 0, 5.7735027, 0, -79.071274, -8.0954323, -79.071602, -8.0950365, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981329", "13981334_p", "13981329_p", 4992, 6,  0, 0, 5.7735027, 0, -79.073318, -8.0939779, -79.073717, -8.0938636, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981334", "13981339_p", "13981334_p", 5184, 6,  0, 0, 5.7735027, 0, -79.072915, -8.0941371, -79.073318, -8.0939779, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981339", "13981344_p", "13981339_p", 5376, 6,  0, 0, 5.7735027, 0, -79.072519, -8.0943528, -79.072915, -8.0941371, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981344", "13981349_p", "13981344_p", 5568, 6,  0, 0, 5.7735027, 0, -79.072205, -8.0945425, -79.072519, -8.0943528, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981349", "13981354_p", "13981349_p", 5760, 6,  0, 0, 5.7735027, 0, -79.071911, -8.0947583, -79.072205, -8.0945425, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.13981354", "13981324_p", "13981354_p", 5952, 6,  0, 0, 5.7735027, 0, -79.071602, -8.0950365, -79.071911, -8.0947583, 16711680, 6, 0, 0, 0, 0, 16, 1
Line, "Line.14016067", "3837992_p", "14016067_p", 6144, 6,  0, 0, 5.7735027, 0, -79.096146, -8.0953054, -79.096001, -8.0953045, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14016068", "14016067_p", "14016068_p", 6336, 6,  0, 0, 5.7735027, 0, -79.096001, -8.0953045, -79.095825, -8.0953131, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14016081", "14016068_p", "14016081_p", 6528, 6,  0, 0, 5.7735027, 0, -79.095825, -8.0953131, -79.095848, -8.0957737, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14016088", "14016081_p", "14016088_p", 6720, 6,  0, 0, 5.7735027, 0, -79.095848, -8.0957737, -79.09584, -8.0961361, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14016095", "14016088_p", "14016095_p", 6912, 6,  0, 0, 5.7735027, 0, -79.09584, -8.0961361, -79.095795, -8.0960989, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14016207", "3810137_p", "14016207_p", 7104, 6,  0, 0, 5.7735027, 0, -79.114449, -8.0860329, -79.11454, -8.0860062, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14016214", "14016207_p", "14016214_p", 7296, 6,  0, 0, 5.7735027, 0, -79.11454, -8.0860062, -79.114496, -8.0858083, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14016221", "14016214_p", "14016221_p", 7488, 6,  0, 0, 5.7735027, 0, -79.114496, -8.0858083, -79.114583, -8.0857897, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14016237", "14016221_p", "14016237_p", 7680, 6,  0, 0, 5.7735027, 0, -79.114583, -8.0857897, -79.115087, -8.0856829, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14016246", "14016237_p", "14016246_p", 7872, 6,  0, 0, 5.7735027, 0, -79.115087, -8.0856829, -79.115578, -8.085577, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14016254", "14016246_p", "14016254_p", 8064, 6,  0, 0, 5.7735027, 0, -79.115578, -8.085577, -79.115685, -8.0855503, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14016261", "14016254_p", "14016261_p", 8256, 6,  0, 0, 5.7735027, 0, -79.115685, -8.0855503, -79.115702, -8.0856333, 16711680, 1, 0, 0, 0, 0, 16, 1
Line, "Line.14070073", "13912616_p", "14070073_p", 8448, 6,  0, 0, 5.7735027, 0, -79.065163, -8.0996981, -79.065243, -8.0999064, 16711680, 3, 0, 0, 0, 0, 16, 1
