c_1,-31.656667783750425,-68.28479991211313
c_10,-31.65736209440904,-68.27602467065994
c_100,-31.65324754374068,-68.26745964235286
c_101,-31.65298257473705,-68.26739162658986
c_102,-31.64693284299842,-68.28469773501426
c_103,-31.646922070292767,-68.28481140536938
c_104,-31.64566610664429,-68.28576811192457
c_105,-31.648698279328,-68.27961461672264
c_106,-31.659993090877894,-68.28566585887206
c_11,-31.657302144223724,-68.2818659727346
c_12,-31.64962493197669,-68.27366017941073
c_13,-31.65357625817663,-68.27895930727509
c_14,-31.657293703660272,-68.26800230853931
c_15,-31.65730007556192,-68.26811352551937
c_16,-31.656089597323007,-68.2737675217598
c_17,-31.65617703686789,-68.27363589741444
c_18,-31.65635004372038,-68.28965601128196
c_19,-31.65616327197324,-68.28961373539046
c_2,-31.6563539523792,-68.28456195299232
c_20,-31.65645434435708,-68.28678047520218
c_21,-31.65650580965961,-68.28650392878419
c_22,-31.65658544439173,-68.28607599389801
c_23,-31.656782000731667,-68.28482716708145
c_24,-31.656164330745085,-68.28642131240883
c_25,-31.65472867146947,-68.28606821127492
c_26,-31.657115563586093,-68.28291548960605
c_28,-31.65749471934135,-68.28074484641188
c_29,-31.657681231682428,-68.2795254101685
c_30,-31.65794870728641,-68.2781253223452
c_31,-31.658129221334097,-68.2770588878758
c_32,-31.658295309451308,-68.27613504644489
c_33,-31.65854269771207,-68.2747274919083
c_35,-31.66079452218034,-68.26172043745463
c_36,-31.653441677086107,-68.2857575740269
c_37,-31.65272541425525,-68.28558535946875
c_38,-31.65081234260768,-68.28512014233402
c_39,-31.647726870938687,-68.28439227988717
c_4,-31.65255800498527,-68.28535645713968
c_40,-31.64745384623692,-68.28433654589638
c_41,-31.647344025701788,-68.28430970615122
c_42,-31.6454974591386,-68.28591808517035
c_43,-31.64561793587124,-68.28569553323496
c_44,-31.645573745409635,-68.28562896480373
c_46,-31.6572297822288,-68.27685936424362
c_47,-31.656260204160663,-68.2766241802354
c_48,-31.656112118697063,-68.27658695652613
c_49,-31.6553932027048,-68.27642251019931
c_5,-31.645719051575806,-68.28586970281954
c_50,-31.655078640600777,-68.2763504158634
c_51,-31.65406528102085,-68.27610507647229
c_52,-31.65385941027338,-68.27605605549834
c_53,-31.652747970094044,-68.27458093121854
c_54,-31.652644105192525,-68.2745573355126
c_55,-31.650934885669628,-68.27416226196574
c_56,-31.650902581735807,-68.27437282603245
c_57,-31.65049666202676,-68.27708509521062
c_58,-31.65072464462513,-68.27411622038376
c_59,-31.65040314519624,-68.27404593420201
c_6,-31.657932409002047,-68.27701522458932
c_60,-31.649677193893496,-68.27388722851846
c_61,-31.649650803415337,-68.27405024368852
c_62,-31.64919095800392,-68.27678737829372
c_63,-31.6495927943564,-68.27385998295742
c_64,-31.647160363774976,-68.2732904706774
c_65,-31.65633980290965,-68.27424473143516
c_66,-31.65601651636673,-68.27417890750131
c_67,-31.65605167352704,-68.27398101042887
c_68,-31.65635611347272,-68.2724225783185
c_69,-31.656556348437544,-68.27245108315027
c_7,-31.65497590227088,-68.27697492051165
c_70,-31.657057818667266,-68.27252248461512
c_71,-31.65718393879856,-68.27178909336901
c_72,-31.656364403514264,-68.27215730542886
c_73,-31.656427336330644,-68.27171872849773
c_74,-31.65616209247817,-68.2721119849762
c_75,-31.65494398473406,-68.27183914236834
c_76,-31.658662230807032,-68.26829375847
c_78,-31.656336719610948,-68.28743626467268
c_79,-31.65638170998981,-68.28720407887484
c_8,-31.65648455072472,-68.27428063228834
c_80,-31.65714125787064,-68.28490854086574
c_81,-31.658972738845986,-68.28534344232573
c_82,-31.65653426755541,-68.28758875813476
c_83,-31.65804257535106,-68.28794385230091
c_84,-31.657080965415133,-68.26797104998268
c_85,-31.65678742971581,-68.26792800079492
c_86,-31.65644339125404,-68.26781121840251
c_87,-31.65622713392549,-68.26813968669477
c_88,-31.65641149638177,-68.28995803948818
c_89,-31.65646001140297,-68.2896809065948
c_9,-31.654253940603763,-68.2749231183617
c_90,-31.656121513342462,-68.28960428331217
c_91,-31.65593570837909,-68.2895834266259
c_92,-31.656014915114184,-68.28925756837086
c_93,-31.656055884088623,-68.28904437008141
c_94,-31.65611302172241,-68.28965615726406
c_95,-31.65610074916584,-68.28973112809177
c_96,-31.65048907614005,-68.27357901787592
c_97,-31.6507198087268,-68.27233118108443
