1_1_,-16.319995,-71.604223
1396_1_,-16.327905,-71.591357
1396_1,-16.327905,-71.591357
1396_2,-16.327905,-71.591357
1697_1_,-16.333185,-71.587221
1697_1,-16.333185,-71.587221
1697_2,-16.333185,-71.587221
1698_1_,-16.325963,-71.592127
1698_1,-16.325963,-71.592127
1698_2,-16.325963,-71.592127
1744_1_,-16.320965,-71.588112
1744_1,-16.320965,-71.588112
1744_2,-16.320965,-71.588112
1745_1_,-16.317964,-71.591999
1745_1,-16.317964,-71.591999
1745_2,-16.317964,-71.591999
1746_1_,-16.315638,-71.588113
1746_1,-16.315638,-71.588113
1746_2,-16.315638,-71.588113
1778_1_,-16.307103,-71.608296
1778_1,-16.307103,-71.608296
1778_2,-16.307103,-71.608296
1812_1_,-16.322403,-71.593876
1812_1,-16.322403,-71.593876
1812_2,-16.322403,-71.593876
1813_1_,-16.325174,-71.589548
1813_1,-16.325174,-71.589548
1813_2,-16.325174,-71.589548
1855_1_,-16.318279,-71.597194
1855_1,-16.318279,-71.597194
1855_2,-16.318279,-71.597194
1876_1_,-16.302011,-71.61357
1876_1,-16.302011,-71.61357
1876_2,-16.302011,-71.61357
1877_1_,-16.304838,-71.610665
1877_1,-16.304838,-71.610665
1877_2,-16.304838,-71.610665
1878_1_,-16.306442,-71.611885
1878_1,-16.306442,-71.611885
1878_2,-16.306442,-71.611885
1879_1_,-16.308589,-71.613717
1879_1,-16.308589,-71.613717
1879_2,-16.308589,-71.613717
1893_1_,-16.332933,-71.581709
1893_1,-16.332933,-71.581709
1893_2,-16.332933,-71.581709
1_2300,-16.320997,-71.586829
1930_1_,-16.320997,-71.586829
1930_1,-16.320997,-71.586829
1930_2,-16.320997,-71.586829
2_2300,-16.320997,-71.586829
1982_1_,-16.329595,-71.590074
1982_1,-16.329595,-71.590074
1982_2,-16.329595,-71.590074
1987_1_,-16.293689,-71.620909
1987_1,-16.293689,-71.620909
1987_2,-16.293689,-71.620909
2_1_,-16.3203,-71.60386
2086_1_,-16.291728,-71.623106
2086_1,-16.291728,-71.623106
2086_2,-16.291728,-71.623106
2087_1_,-16.295576,-71.624168
2087_1,-16.295576,-71.624168
2087_2,-16.295576,-71.624168
2088_1_,-16.298998,-71.622368
2088_1,-16.298998,-71.622368
2088_2,-16.298998,-71.622368
2089_1_,-16.296552,-71.619396
2089_1,-16.296552,-71.619396
2089_2,-16.296552,-71.619396
2090_1_,-16.298337,-71.616354
2090_1,-16.298337,-71.616354
2090_2,-16.298337,-71.616354
2091_1_,-16.298014,-71.624178
2091_1,-16.298014,-71.624178
2091_2,-16.298014,-71.624178
2092_1_,-16.300448,-71.619123
2092_1,-16.300448,-71.619123
2092_2,-16.300448,-71.619123
2095_1_,-16.302903,-71.615612
2095_1,-16.302903,-71.615612
2095_2,-16.302903,-71.615612
2096_1_,-16.304167,-71.61709
2096_1,-16.304167,-71.61709
2096_2,-16.304167,-71.61709
2097_1_,-16.30614,-71.617172
2097_1,-16.30614,-71.617172
2097_2,-16.30614,-71.617172
2126_1_,-16.30894,-71.604971
2126_1,-16.30894,-71.604971
2126_2,-16.30894,-71.604971
2174_1_,-16.297168,-71.618732
2174_1,-16.297168,-71.618732
2174_2,-16.297168,-71.618732
2222_1_,-16.299991,-71.61362
2222_1,-16.299991,-71.61362
2222_2,-16.299991,-71.61362
2279_1_,-16.337055,-71.588472
2279_1,-16.337055,-71.588472
2279_2,-16.337055,-71.588472
2423_1_,-16.32934,-71.59019
2423_1,-16.32934,-71.59019
2423_2,-16.32934,-71.59019
2605_1_,-16.330893,-71.584878
2605_1,-16.330893,-71.584878
2605_2,-16.330893,-71.584878
2606_1_,-16.331873,-71.584869
2606_1,-16.331873,-71.584869
2606_2,-16.331873,-71.584869
2607_1_,-16.333754,-71.583206
2607_1,-16.333754,-71.583206
2607_2,-16.333754,-71.583206
26240,-16.3112640380859,-71.5987854003906
26241,-16.31103515625,-71.5990982055664
2628_1_,-16.313302,-71.588274
2628_1,-16.313302,-71.588274
2628_2,-16.313302,-71.588274
26303_1_,-16.314669,-71.623318
26304_1_,-16.31467,-71.623319
26305,-16.314671,-71.62332
26306,-16.314672,-71.623321
